Question acceptedAnswer Answer
Order acceptedOffer Offer
Organization acceptedPaymentMethod Text
Organization acceptedPaymentMethod PaymentMethod
Organization acceptedPaymentMethod LoanOrCredit
Demand acceptedPaymentMethod Text
Demand acceptedPaymentMethod PaymentMethod
Demand acceptedPaymentMethod LoanOrCredit
Offer acceptedPaymentMethod Text
Offer acceptedPaymentMethod PaymentMethod
Offer acceptedPaymentMethod LoanOrCredit
FoodEstablishment acceptsReservations Boolean
FoodEstablishment acceptsReservations Text
FoodEstablishment acceptsReservations URL
DeliveryEvent accessCode Text
CreativeWork accessMode Text
CreativeWork accessibilityAPI Text
CreativeWork accessibilityControl Text
CreativeWork accessibilityFeature Text
CreativeWork accessibilityHazard Text
CreativeWork accessibilitySummary Text
Invoice accountId Text
CreativeWork accountablePerson Person
OwnershipInfo acquiredFrom Organization
OwnershipInfo acquiredFrom Person
ConsumeAction actionAccessibilityRequirement ActionAccessSpecification
EntryPoint actionPlatform URL
EntryPoint actionPlatform Text
EntryPoint actionPlatform DigitalPlatformEnumeration
Action actionProcess HowTo
Action actionStatus ActionStatusType
VideoGameSeries actors Person
TVSeries actors Person
Movie actors Person
RadioSeries actors Person
Episode actors Person
VideoObject actors Person
Clip actors Person
VideoGame actors Person
MovieSeries actors Person
Offer addOn Offer
Person additionalName Text
RsvpAction additionalNumberOfGuests Number
Product additionalProperty PropertyValue
QualitativeValue additionalProperty PropertyValue
QuantitativeValue additionalProperty PropertyValue
Offer additionalProperty PropertyValue
Place additionalProperty PropertyValue
MerchantReturnPolicy additionalProperty PropertyValue
Thing additionalType Text
Thing additionalType URL
Person address PostalAddress
Person address Text
GeoCoordinates address PostalAddress
GeoCoordinates address Text
Place address PostalAddress
Place address Text
GeoShape address PostalAddress
GeoShape address Text
Organization address PostalAddress
Organization address Text
DefinedRegion addressCountry Text
DefinedRegion addressCountry Country
GeoShape addressCountry Text
GeoShape addressCountry Country
PostalAddress addressCountry Text
PostalAddress addressCountry Country
GeoCoordinates addressCountry Text
GeoCoordinates addressCountry Country
PostalAddress addressLocality Text
DefinedRegion addressRegion Text
PostalAddress addressRegion Text
Demand advanceBookingRequirement QuantitativeValue
Offer advanceBookingRequirement QuantitativeValue
Person affiliation Organization
HowToDirection afterMedia MediaObject
HowToDirection afterMedia URL
Action agent Organization
Action agent Person
Product aggregateRating AggregateRating
Event aggregateRating AggregateRating
Offer aggregateRating AggregateRating
CreativeWork aggregateRating AggregateRating
Place aggregateRating AggregateRating
Organization aggregateRating AggregateRating
Service aggregateRating AggregateRating
Brand aggregateRating AggregateRating
Flight aircraft Text
Flight aircraft Vehicle
MusicAlbum albumProductionType MusicAlbumProductionType
MusicAlbum albumReleaseType MusicAlbumReleaseType
MusicGroup albums MusicAlbum
AlignmentObject alignmentType Text
CreativeWork alternativeHeadline Text
Accommodation amenityFeature LocationFeatureSpecification
LodgingBusiness amenityFeature LocationFeatureSpecification
Place amenityFeature LocationFeatureSpecification
InvestmentOrDeposit amount MonetaryAmount
InvestmentOrDeposit amount Number
DatedMoneySpecification amount MonetaryAmount
DatedMoneySpecification amount Number
LoanOrCredit amount MonetaryAmount
LoanOrCredit amount Number
TypeAndQuantityNode amountOfThisGood Number
FinancialProduct annualPercentageRate QuantitativeValue
FinancialProduct annualPercentageRate Number
Question answerCount Integer
EntryPoint application SoftwareApplication
SoftwareApplication applicationCategory Text
SoftwareApplication applicationCategory URL
SoftwareApplication applicationSubCategory Text
SoftwareApplication applicationSubCategory URL
SoftwareApplication applicationSuite Text
DeliveryChargeSpecification appliesToDeliveryMethod DeliveryMethod
PaymentChargeSpecification appliesToDeliveryMethod DeliveryMethod
PaymentChargeSpecification appliesToPaymentMethod PaymentMethod
BroadcastService area Place
Flight arrivalAirport Airport
BusTrip arrivalBusStop BusStation
BusTrip arrivalBusStop BusStop
Flight arrivalGate Text
TrainTrip arrivalPlatform Text
TrainTrip arrivalStation TrainStation
Flight arrivalTerminal Text
Trip arrivalTime DateTime
Trip arrivalTime Time
VisualArtwork artEdition Text
VisualArtwork artEdition Integer
VisualArtwork artMedium Text
VisualArtwork artMedium URL
VisualArtwork artform Text
VisualArtwork artform URL
Article articleBody Text
Article articleSection Text
APIReference assembly Text
APIReference assemblyVersion Text
MediaObject associatedArticle NewsArticle
CreativeWork associatedMedia MediaObject
SportsTeam athlete Person
Event attendees Organization
Event attendees Person
Audience audienceType Text
CreativeWork audio Clip
CreativeWork audio AudioObject
MediaSubscription authenticator Organization
Rating author Organization
Rating author Person
CreativeWork author Organization
CreativeWork author Person
Demand availability ItemAvailability
Offer availability ItemAvailability
ActionAccessSpecification availabilityEnds Date
ActionAccessSpecification availabilityEnds DateTime
ActionAccessSpecification availabilityEnds Time
Demand availabilityEnds Date
Demand availabilityEnds DateTime
Demand availabilityEnds Time
Offer availabilityEnds Date
Offer availabilityEnds DateTime
Offer availabilityEnds Time
ActionAccessSpecification availabilityStarts Date
ActionAccessSpecification availabilityStarts DateTime
ActionAccessSpecification availabilityStarts Time
Demand availabilityStarts Date
Demand availabilityStarts DateTime
Demand availabilityStarts Time
Offer availabilityStarts Date
Offer availabilityStarts DateTime
Offer availabilityStarts Time
Demand availableAtOrFrom Place
Offer availableAtOrFrom Place
Service availableChannel ServiceChannel
Demand availableDeliveryMethod DeliveryMethod
Offer availableDeliveryMethod DeliveryMethod
DeliveryEvent availableFrom DateTime
ContactPoint availableLanguage Language
ContactPoint availableLanguage Text
LodgingBusiness availableLanguage Language
LodgingBusiness availableLanguage Text
TouristAttraction availableLanguage Language
TouristAttraction availableLanguage Text
ServiceChannel availableLanguage Language
ServiceChannel availableLanguage Text
DeliveryEvent availableThrough DateTime
Organization awards Text
Product awards Text
Person awards Text
CreativeWork awards Text
SportsEvent awayTeam SportsTeam
